Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,ALB,80.61695099,89.58073425,96.27111816,125.9879761,156.5681763,165.2653656,174.5302429,222.3036652,220.4642487,186.4428101,192.0032196,211.0755158,213.7197418,236.957962,251.3582611,192.8851318,202.0133209,226.2806702,274.914093,..
Andorra,AND,1302.620728,1347.484985,1528.75061,1820.04187,2043.302246,2299.703613,2161.205322,2403.599121,2818.804688,2714.249756,2685.479736,2634.032715,2370.057129,2432.782715,2529.089844,2246.254395,2361.217529,2567.423828,2821.80127,2744.194336
Armenia,ARM,26.12908936,32.25933838,59.63238907,66.77802277,72.17178345,96.35484314,126.252945,172.6018677,266.3115845,252.8356018,297.2290649,330.5755615,336.3205566,396.232544,405.7288818,364.9728088,357.4577637,405.6506958,422.2826843,523.9990845
Austria,AUT,2269.126465,2282.515869,2497.865967,3091.240234,3594.650391,3710.397949,3882.981934,4478.768555,5057.760742,4928.987793,4800.793457,5167.817871,4966.095703,5235.341309,5393.602051,4612.824219,4709.875977,4938.919922,5322.262695,5242.183105
Azerbaijan,AZE,19.14171791,19.19028282,20.59105873,23.80008125,27.38257599,35.07611465,50.24787903,75.39520264,107.3614349,129.7258606,145.8452606,176.4084778,222.9855194,239.9508057,267.3097229,226.510025,156.9957275,155.0982666,168.3916473,193.1088409
Belgium,BEL,1849.916016,1879.934814,2084.719971,2828.333496,3326.637207,3419.693115,3558.121338,4078.146973,4670.422852,4653.436523,4544.779785,4943.796875,4706.470215,4947.769531,5072.950684,4291.489746,4534.22998,4775.8125,5134.414551,4960.393555
Bulgaria,BGR,94.49745178,119.8299789,148.1479187,195.7436981,233.113327,267.741394,294.1089172,361.2349854,455.5405884,459.3002014,484.7522888,555.8641968,558.6479492,547.454834,605.2589111,521.4190674,562.3408203,624.5250244,689.9053955,697.8963623
Croatia,HRV,371.0621338,388.3248901,386.4440918,512.1520996,634.6203003,727.1310425,816.0170288,1041.034424,1258.872437,1187.545288,1126.373657,1132.498901,1029.971191,889.944519,909.3716431,795.520813,840.9050293,902.6252441,1014.222351,1040.085693
Czechia,CZE,342.921051,388.5440369,497.7420349,640.6604004,746.3289185,852.6524658,942.118042,1110.176636,1449.336792,1442.242798,1373.931763,1516.55542,1387.406006,1554.509033,1512.926147,1284.046753,1321.620239,1475.915283,1765.588623,1844.217773
Estonia,EST,209.7131348,214.7041473,250.4802094,349.0580444,455.0681152,524.6801148,600.5078735,832.7330933,1038.562256,963.0196533,926.4541626,1015.968262,1013.314209,1144.646851,1238.927002,1112.914063,1186.102783,1350.380615,1552.632446,1598.818848
Belarus,BLR,57.66816711,74.33643341,87.08403778,109.8769302,142.7480164,198.3073731,223.831192,281.0776367,351.7279663,290.7015381,343.6791077,319.7537231,365.874939,456.4916687,450.2226257,362.7528381,298.6265869,333.5410767,351.0068054,399.3970947
Bosnia and Herzegovina,BIH,113.3132629,112.0685196,127.2113953,180.9941711,244.5274048,262.8928223,303.5122376,388.098999,482.9365234,425.0511475,417.7483215,467.0319214,452.9765015,484.2270203,504.7872315,442.0378418,461.9793396,482.1771545,539.9100342,553.822937
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,750.5167236,782.1616211,890.4829712,1145.058472,1286.971558,1366.01709,1474.02063,1694.271851,2155.246582,2105.477783,2045.292358,2114.668945,1899.372559,1916.322632,1873.891357,1581.413574,1634.935547,1750.507324,1981.778442,1996.458252
Denmark,DNK,2496.047119,2602.642822,2895.807373,3607.042969,4194.873535,4442.755371,4778.891602,5468.379395,6137.776367,6221.688965,6011.538086,6281.004395,6003.830566,6236.554199,6380.784668,5469.334961,5565.593262,5800.152832,6216.768555,6003.325195
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,2161.853027,2192.71582,2449.758301,3006.305908,3458.627441,3575.025146,3811.551758,4312.310547,4807.374512,4737.578125,4592.383301,4931.87793,4644.595703,4893.476074,4982.991211,4201.555664,4257.149902,4402.07959,4657.75293,4491.735352
Germany,DEU,2344.354736,2346.61499,2567.50293,3152.794189,3459.824951,3558.213379,3697.921631,4182.799316,4669.65332,4674.783203,4611.275879,5037.370117,4765.583008,5099.641113,5307.082031,4624.556641,4744.229492,5055.821289,5481.987305,5440.251465
Greece,GRC,885.4104004,1004.81543,1168.824097,1566.40979,1782.695923,1935.267578,2052.875488,2426.759521,2840.508545,2809.05957,2564.369385,2338.915039,1948.248535,1813.87793,1705.114502,1452.052002,1488.19812,1505.945923,1572.684204,1500.594971
Hungary,HUN,313.1085815,359.6974793,473.1278381,682.8656616,798.4536133,895.2033081,893.2030029,1003.258179,1117.202271,943.6876831,983.1108398,1063.432251,961.1383667,990.6311646,1006.156494,870.5194092,914.1935425,985.7990112,1074.017578,1062.394165
Ireland,IRL,1564.837402,1823.734741,2200.357422,2910.932129,3483.160645,3938.191162,4147.132324,4858.64502,5638.779297,5502.887695,5133.455078,5558.296875,5222.044922,5328.579102,5329.980469,4561.38916,4709.168457,5010.256348,5484.221191,5428.588867
Finland,FIN,1722.832642,1806.050171,2054.262939,2606.775879,3035.97876,3228.952148,3407.665527,3911.96582,4481.216797,4347.121582,4249.602051,4715.935059,4572.523438,4892.097168,4922.675781,4127.149902,4107.062988,4233.468262,4515.677246,4450.302734
Georgia,GEO,51.85281754,55.22227478,64.06044006,77.73462677,100.874176,126.4450836,145.0523071,186.6177826,268.1403503,257.0617676,271.0166626,296.6886902,326.4760742,334.6890564,345.2559815,275.8408203,301.5457764,285.9877014,312.7469177,291.1220398
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,2873.848145,2557.269531,3091.28833,3861.736084,4430.375,5111.64209,4986.397949,5926.807129,4851.421387,3652.208496,3589.555664,3860.030029,3705.946045,4029.233154,4474.549316,4280.490723,5068.100098,6144.546387,6565.879395,6274.959473
Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,2901.199951,3109.201416,3600.867432,4607.402832,5610.353516,5818.145996,6070.73584,6671.265137,7578.749512,7670.59375,7459.835449,7174.739258,6029.475098,6356.644531,6547.034668,5421.932129,5475.139648,5713.118652,6227.083984,6220.741211
Monaco,MCO,1408.094238,1431.133911,1560.809448,2214.794922,2570.476807,2628.361084,2706.862793,3039.256592,3573.772705,3523.403564,3509.566162,3677.650635,3520.154541,3818.140137,3947.679199,3366.150146,2765.32959,2751.866943,2968.849121,2905.84375
Netherlands,NLD,2028.159912,2175.732666,2544.809082,3244.355713,3689.429932,3823.501465,4080.232422,4696.138184,5382.472168,5282.73584,5191.728027,5562.096191,5284.686523,5532.687012,5601.902344,4676.562012,4753.674316,4934.575195,5336.984375,5335.30127
Norway,NOR,2948.931641,3099.003418,3889.959473,4632.568359,5097.344238,5584.689453,5892.987305,6895.560547,7768.050293,7301.959961,7859.516113,8900.37207,8970.120117,9241.265625,9118.317383,7565.549805,7496.768555,7815.786621,8271.858398,8007.397949
