Country Name,Life,Population,GDP
Afghanistan,63.081,36686784,18418848300
Albania,79.184,2866376,15156432310
Algeria,76.066,41927007,1.74911E+11
American Samoa,..,48424,639000000
Angola,62.144,31273533,77792944472
Antigua and Barbuda,78.511,91626,1605944444
Argentina,76.999,44494502,5.2482E+11
Armenia,75.064,2836557,12457941907
Aruba,76.072,105962,3202234637
Australia,82.74878049,24966643,1.42829E+12
Austria,81.69268293,8840521,4.54991E+11
Azerbaijan,72.76,9939771,47112941176
"Bahamas, The",73.806,401906,12755800000
Bahrain,79.857,1487340,37802005319
Bangladesh,72.567,163683958,3.21379E+11
Barbados,77.067,279688,5097283200
Belarus,74.17560976,9438785,60031262269
Belgium,81.59512195,11427054,5.43299E+11
Belize,73.703,382066,2315000000
Benin,60.14,11940683,14262408080
Bermuda,81.65170732,63918,7225977000
Bhutan,71.129,762096,2446866405
Bolivia,67.748,11606905,40287647930
Bosnia and Herzegovina,77.093,3400129,20183510863
Botswana,65.422,2451409,17031901441
Brazil,75.109,210166592,1.91695E+12
Brunei Darussalam,74.712,434274,13567351175
Bulgaria,74.96341463,7025037,66363537115
Burkina Faso,60.047,20392723,15890065020
Burundi,61.688,11493472,2660123598
Cabo Verde,75.733,571202,1966501118
Cambodia,70.561,16025238,24571753583
Cameroon,61.18,25076747,39973839065
Canada,82.04878049,37065084,1.72533E+12
Cayman Islands,..,64884,5530377535
Central African Republic,54.369,5094780,2220978978
Chad,52.825,15604210,11239167048
Chile,80.133,18701450,2.95403E+11
China,77.744,1402760000,1.38948E+13
Colombia,76.748,49276961,3.34198E+11
Comoros,63.912,776313,1188797575
"Congo, Dem. Rep.",59.942,87087355,47568210069
"Congo, Rep.",64.053,5441062,13670036996
Costa Rica,79.484,5040734,62420165100
Cote d'Ivoire,58.849,25493988,58011466451
Croatia,78.07073171,4087843,62316840750
Cuba,77.496,11328244,1.0005E+11
Curacao,..,159336,3020388827
Cyprus,81.382,1218831,25596474965
Czechia,79.02926829,10629928,2.49001E+11
Denmark,80.95365854,5793636,3.56841E+11
Djibouti,63.038,1057198,2913466732
Dominica,..,70823,554770370.4
Dominican Republic,73.232,10765531,85555378043
Ecuador,77.094,17015672,1.07562E+11
"Egypt, Arab Rep.",71.367,103740765,2.49713E+11
El Salvador,72.555,6276342,26020850000
Equatorial Guinea,61.191,1502091,13097011143
Estonia,78.24390244,1321977,30624720196
Eswatini,59.411,1160428,4665237415
Ethiopia,65.412,111129438,84269348327
Faroe Islands,82.54390244,50955,3188610522
Fiji,67.81,918996,5581371848
Finland,81.73414634,5515525,2.75708E+11
France,82.67560976,67158348,2.79096E+12
French Polynesia,82.783,297606,6135117589
Gabon,66.306,2192012,16867326390
"Gambia, The",63.04,2444916,1670670669
Georgia,73.341,3726549,17596922470
Germany,80.89268293,82905782,3.97444E+12
Ghana,64.122,30870641,67299280680
Greece,81.78780488,10732882,2.12049E+11
Greenland,71.88658537,56023,3055791341
Grenada,74.808,121838,1166511111
Guam,77.439,168678,6056000000
Guatemala,72.726,16346950,73328024537
Guinea,59.349,12554864,11857030337
Guinea-Bissau,60.502,1924955,1504630121
Guyana,68.896,785514,4787636237
Haiti,64.019,11012421,16455034353
Honduras,72.814,9792850,24067778954
"Hong Kong SAR, China",84.93414634,7452600,3.61731E+11
Hungary,76.06585366,9775564,1.60565E+11
Iceland,82.86097561,352721,26264127687
India,70.71,1369003306,2.70293E+12
Indonesia,70.338,267066843,1.04227E+12
"Iran, Islamic Rep.",76.195,85617562,3.31682E+11
Iraq,71.514,40590700,2.27367E+11
Ireland,82.20487805,4867316,3.85737E+11
Isle of Man,80.596,83775,7491969313
Israel,82.80243902,8882800,3.76692E+11
Italy,83.34634146,60421760,2.09193E+12
Jamaica,71.793,2811835,15730793853
Japan,84.21097561,126811000,5.03784E+12
Jordan,75.774,10459865,43370860549
Kazakhstan,73.15,18276452,1.7934E+11
Kenya,62.676,49953304,92202956321
Kiribati,66.855,122261,196230573.8
"Korea, Rep.",82.62682927,51585058,1.72485E+12
Kosovo,78.696,1797085,7878508503
Kuwait,79.722,4317185,1.38182E+11
Kyrgyz Republic,71.4,6322800,8271108638
Lao PDR,67.634,7105006,18141651381
Latvia,74.78292683,1927174,34429023435
Lebanon,79.729,5950839,54901519156
Lesotho,53.733,2198017,2553495916
Liberia,60.853,4889391,3422754800
Libya,72.794,6477793,76684175824
Liechtenstein,83.04146341,38181,6692504346
Lithuania,75.6804878,2801543,53751411409
Luxembourg,82.29512195,607950,71000359760
"Macao SAR, China",84.928,650991,55284360483
Madagascar,65.27,26846541,13760033097
Malawi,63.276,18367883,9880675786
Malaysia,75.644,32399271,3.58792E+11
Maldives,80.013,489758,5300962660
Mali,59.393,19934298,17070866299
Malta,82.44878049,484630,15298771847
Mauritania,65.31,4270712,7473550557
Mauritius,74.41634146,1265303,14735695931
Mexico,74.015,124013861,1.22241E+12
"Micronesia, Fed. Sts.",71.318,110929,401932300
Moldova,70.492,2707203,11457443185
Mongolia,71.199,3163991,13178094459
Montenegro,76.84146341,622227,5506766651
Morocco,73.986,35927511,1.27341E+11
Mozambique,60.526,29423878,14845402474
Myanmar,66.465,52666014,67144725831
Namibia,62.586,2405680,13682062251
Nepal,68.979,28506712,33111525872
Netherlands,81.81219512,17231624,9.14043E+11
New Caledonia,80.00309756,271170,9846922416
New Zealand,81.85853659,4900600,2.11953E+11
Nicaragua,73.85,6572233,13025239912
Niger,62.454,22577058,12808660528
Nigeria,52.554,198387623,4.21739E+11
North Macedonia,76.64878049,2076217,12683070061
Norway,82.75853659,5311916,4.37E+11
Oman,77.966,4601157,91505851756
Pakistan,66.482,219731479,3.56128E+11
Panama,77.863,4165255,64929400000
Papua New Guinea,65.182,9329227,24109509853
Paraguay,73.568,6443328,40225448341
Peru,76.009,32203944,2.22597E+11
Philippines,71.689,108568836,3.46842E+11
Poland,77.60243902,37974750,5.88783E+11
Portugal,81.32439024,10283822,2.42313E+11
Puerto Rico,79.77,3193354,1.00958E+11
Qatar,80.898,2766732,1.83335E+11
