Region,Total Expenditure,Change,Per Capita,GDP Share
Baden-Württemberg,  55 715.0  ,5.9, 5 019,11.0
Bayern,  68 696.4  ,5.8, 5 231,11.0
Berlin,  20 026.2  ,7.7, 5 461,13.0
Brandenburg,  14 302.7  ,6.6, 5 661,19.0
Bremen,  3 267.0  ,7.1, 4 800,10.1
Hamburg,  9 881.6  ,8.4, 5 342,8.4
Hessen,  33 641.9  ,6.1, 5 348,11.8
Mecklenburg-Vorpommern,  8 819.4  ,6.5, 5 480,18.8
Niedersachsen,  41 865.9  ,5.9, 5 234,13.9
Nordrhein-Westfalen,  97 092.5  ,7.2, 5 413,14.0
Rheinland-Pfalz,  21 698.3  ,5.8, 5 297,15.1
Saarland,  5 435.3  ,6.1, 5 516,15.9
Sachsen,  21 008.9  ,6.7, 5 169,16.5
Sachsen-Anhalt,  12 125.4  ,6.6, 5 542,19.1
Schleswig-Holstein,  15 557.1  ,6.3, 5 351,15.8
Thüringen,  11 443.5  ,6.9, 5 381,18.4
Deutschland,  440 577  ,6.5, 5 298,13.1
