GDP,Year
0.104964893169406%,2022
0.108034291408598%,2021
0.124227722449247%,2020
0.084006650261061%,2019
0.071814862911876%,2018
0.056961437825903%,2017
0.073098462859119%,2016
0.076401575876272%,2015
0.094973128477295%,2014
0.116538602828900%,2013
0.127545952379409%,2012
0.125543527279728%,2011
0.090974192029968%,2010
0.069652636292041%,2009
0.033517173016533%,2008
0.016825077809052%,2007
0.026402393199601%,2006
0.072635763395441%,2005
0.140852519192069%,2004
0.183482577589771%,2003
0.201918499014587%,2002
0.177285603842181%,2001
0.144895150073117%,2000
0.174496759975292%,1999
0.209712300931135%,1998
0.164382368588997%,1997
0.130996445889958%,1996
0.133291661813523%,1995
0.107954734255032%,1994
0.111904955663199%,1993
0.109646834869555%,1992
0.108867254901617%,1991
0.098519256686116%,1990
0.122501823046473%,1989
0.138684991279891%,1988
0.180013058158516%,1987
0.239291401477080%,1986
0.300758993112693%,1985
0.314289895010673%,1984
